stock_name,stock_code,current_price,price_source,fetched_at
금호타이어,073240,4665.0,naver_finance,2026-06-09 14:36:24 KST
대창솔루션,096350,1942.0,naver_finance,2026-06-09 14:36:25 KST
대한해운,005880,1932.0,naver_finance,2026-06-09 14:36:27 KST
에코플라스틱,038110,2245.0,naver_finance,2026-06-09 14:36:28 KST
태림포장,011280,1819.0,naver_finance,2026-06-09 14:36:29 KST
태웅,044490,31000.0,naver_finance,2026-06-09 14:36:31 KST
HANARO K휴머노이드테마TOP10,0155N0,9905.0,naver_finance,2026-06-09 14:36:32 KST
LG유플러스,032640,15000.0,naver_finance,2026-06-09 14:36:34 KST
TIGER K방산&우주,463250,36960.0,naver_finance,2026-06-09 14:36:35 KST
컴퍼니케이,307930,7850.0,naver_finance,2026-06-09 14:36:36 KST
