source_file,status,stock_name,stock_code,quantity,avg_price,current_price,current_price_source,unrealized_pnl_pct,target_price,stop_loss,decision,memo,checked_at
holdings_manual_input.csv,보유중,금호타이어,073240,25.0,4865.0,4665.0,naver_finance,-4.11,,,HOLD,보유 유지. 뉴스·거래량·추천 재등장 여부 확인.,2026-06-09 14:36:24 KST
holdings_manual_input.csv,보유중,대창솔루션,096350,60.0,2800.0,1942.0,naver_finance,-30.64,,,STOP_WATCH,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",2026-06-09 14:36:25 KST
holdings_manual_input.csv,보유중,대한해운,005880,41.0,2519.0,1932.0,naver_finance,-23.3,,,STOP_WATCH,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",2026-06-09 14:36:27 KST
holdings_manual_input.csv,보유중,에코플라스틱,038110,51.0,3750.0,2245.0,naver_finance,-40.13,,,STOP_WATCH,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",2026-06-09 14:36:28 KST
holdings_manual_input.csv,보유중,태림포장,011280,40.0,2100.0,1819.0,naver_finance,-13.38,,,STOP_WATCH,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",2026-06-09 14:36:29 KST
holdings_manual_input.csv,보유중,태웅,044490,4.0,40500.0,31000.0,naver_finance,-23.46,,,STOP_WATCH,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",2026-06-09 14:36:31 KST
holdings_manual_input.csv,보유중,HANARO K휴머노이드테마TOP10,0155N0,4.0,11000.0,9905.0,naver_finance,-9.95,,,STOP_WATCH,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",2026-06-09 14:36:32 KST
holdings_manual_input.csv,보유중,LG유플러스,032640,3.0,15400.0,15000.0,naver_finance,-2.6,,,HOLD,보유 유지. 뉴스·거래량·추천 재등장 여부 확인.,2026-06-09 14:36:34 KST
holdings_manual_input.csv,보유중,TIGER K방산&우주,463250,4.0,44500.0,36960.0,naver_finance,-16.94,,,STOP_WATCH,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",2026-06-09 14:36:35 KST
holdings_manual_input.csv,보유중,컴퍼니케이,307930,3.0,9150.0,7850.0,naver_finance,-14.21,,,STOP_WATCH,"습관형 손절권. 물타기 금지, 손실 확대 방지 우선.",2026-06-09 14:36:36 KST
