rank,stock_name,stock_code,sector,score,current_price,priority,entry_action,entry_guide,take_profit_guide,stop_loss_guide,do_not_chase,check_points
1,TIGER 미국배당다우존스,,AI/소프트웨어,87,"15,670",B: 조건부 감시,정상,"15,357~15,748원 구간에서 거래량/지지 확인 후 분할 진입","1차 16,454원(+5%), 2차 16,924원(+8%) 부근 분할 익절 검토","15,043원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
2,RISE 200위클리커버드콜,,AI/소프트웨어,75,"14,200",C: 관찰,정상,"13,916~14,271원 구간에서 거래량/지지 확인 후 분할 진입","1차 14,910원(+5%), 2차 15,336원(+8%) 부근 분할 익절 검토","13,632원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
3,한켐,,화학,87,"13,050",B: 조건부 감시,정상,"12,789~13,115원 구간에서 거래량/지지 확인 후 분할 진입","1차 13,702원(+5%), 2차 14,094원(+8%) 부근 분할 익절 검토","12,528원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
4,라이콤,,반도체/전자부품,72,"6,750",C: 관찰,정상,"6,615~6,784원 구간에서 거래량/지지 확인 후 분할 진입","1차 7,088원(+5%), 2차 7,290원(+8%) 부근 분할 익절 검토","6,480원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
5,TIGER 미국S&P500,,AI/소프트웨어,63,"28,170",C: 관찰,정상,"27,607~28,311원 구간에서 거래량/지지 확인 후 분할 진입","1차 29,578원(+5%), 2차 30,424원(+8%) 부근 분할 익절 검토","27,043원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
6,KODEX 미국S&P500,,AI/소프트웨어,62,"25,695",C: 관찰,정상,"25,181~25,823원 구간에서 거래량/지지 확인 후 분할 진입","1차 26,980원(+5%), 2차 27,751원(+8%) 부근 분할 익절 검토","24,667원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
7,KODEX 미국나스닥100,,AI/소프트웨어,69,"29,585",C: 관찰,정상,"28,993~29,733원 구간에서 거래량/지지 확인 후 분할 진입","1차 31,064원(+5%), 2차 31,952원(+8%) 부근 분할 익절 검토","28,402원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
8,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,61,"23,595",C: 관찰,정상,"23,123~23,713원 구간에서 거래량/지지 확인 후 분할 진입","1차 24,775원(+5%), 2차 25,483원(+8%) 부근 분할 익절 검토","22,651원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
9,TIGER 배당커버드콜액티브,,AI/소프트웨어,58,"23,315",C: 관찰,정상,"22,849~23,432원 구간에서 거래량/지지 확인 후 분할 진입","1차 24,481원(+5%), 2차 25,180원(+8%) 부근 분할 익절 검토","22,382원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
10,SK네트웍스,,도매,61,"14,170",C: 관찰,정상,"13,887~14,241원 구간에서 거래량/지지 확인 후 분할 진입","1차 14,878원(+5%), 2차 15,304원(+8%) 부근 분할 익절 검토","13,603원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
11,TIGER 미국나스닥100타겟데일리커버드콜,,AI/소프트웨어,59,"11,980",C: 관찰,정상,"11,740~12,040원 구간에서 거래량/지지 확인 후 분할 진입","1차 12,579원(+5%), 2차 12,938원(+8%) 부근 분할 익절 검토","11,501원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
12,디아이씨,,자동차/부품,57,"10,110",C: 관찰,정상,"9,908~10,161원 구간에서 거래량/지지 확인 후 분할 진입","1차 10,616원(+5%), 2차 10,919원(+8%) 부근 분할 익절 검토","9,706원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
13,대원제약,,제약/바이오,49,"12,400",C: 관찰,정상,"12,152~12,462원 구간에서 거래량/지지 확인 후 분할 진입","1차 13,020원(+5%), 2차 13,392원(+8%) 부근 분할 익절 검토","11,904원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
